scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
executivePage,type3,Create planned maintenance notification,"Write an operational notice from Munson's Pickles & Preserves Farm's IT Operations team communicating planned maintenance for our corporate identity platform and connected manufacturing systems. Target audience is all 2,200 employees across headquarters in Portland and production facilities in Salem, Eugene, and Medford. Maintenance window is this coming Saturday from 11:00 PM to 3:00 AM PST. Clearly state systems impacted (Azure AD SSO, VPN authentication, production floor terminals, inventory management system, Dynamics 365), expected user impact (4-hour login disruption, active sessions will be terminated, production lines can operate in offline mode), required actions (save work by 10:45 PM, re-authenticate after maintenance, night shift supervisors confirm offline readiness), and support escalation path via IT Help Desk ext. 4357 or #it-support Teams channel. Keep the message concise and operational.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'maintenance' or 'system' or 'platform', 'impact' or 'window' or 'action'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/engineering-technology-operations-tests.json
executivePage,type3,Create platform modernization progress update,"Write an internal update from Proseware's Core Platform team describing Q4 2025 progress on Project Atlasâ€”our 3-year initiative to migrate our legal document management platform from on-premises SQL Server to a cloud-native architecture on AWS. Target audience is engineering managers, architects, and senior ICs across Product, Infrastructure, and QA teams at our Boston and Toronto offices (approximately 180 people). Address what has been completed (Document Search and Version Control services migrated, 40% of law firm customers now on new platform), technical and business value delivered (65% reduction in deployment time, 99.95% availability vs 99.2% previously, HIPAA and SOC 2 compliance maintained), risks including the delayed eDiscovery module migration due to data residency requirements for EU customers, and what teams should expect in Q1 2026 (Client Portal service migration, legacy API deprecation notices). Write for a technically informed audience.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'moderniz' or 'platform' or 'progress', 'complet' or 'value' or 'risk'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/engineering-technology-operations-tests.json
executivePage,type3,Create financial performance snapshot,"Write an internal financial update from Fabrikam Inc.'s CFO office summarizing Q4 2025 performance for the Commercial Solutions division ($1.2B annual revenue). Target audience is VP-level and above leaders across Sales, Product, and Operations (approximately 45 executives). Include revenue themes (subscription revenue up 12% YoY but professional services down 8%), cost drivers (cloud infrastructure spend 15% over budget due to unoptimized workloads), key variance explanations (EMEA underperformance tied to delayed enterprise deals), areas requiring tighter financial discipline (T&E spend, contractor headcount), and what leaders should prioritize in Q1 2026 (pipeline acceleration, cost optimization reviews). The tone should be factual, disciplined, and forward-looking.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'financial' or 'revenue' or 'performance', 'cost' or 'budget' or 'quarter'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/finance-strategy-transformation-tests.json
executivePage,type3,Create transformation progress update,"Write an internal update from Trey Research's Digital Transformation Office describing Year 2 progress on 'UnifiedLab'â€”our $28M, 3-year initiative to consolidate 5 disconnected laboratory information management systems (LIMS) into a single cloud-based platform. Target audience is all lab directors, research managers, and operations staff across our San Diego, Cambridge, and Munich R&D centers (approximately 1,400 employees). Cover capabilities delivered so far (San Diego and Cambridge sites live, unified sample tracking, automated compliance reporting for FDA and EMA), measurable business outcomes (sample processing time reduced from 72 hours to 18, $1.8M annual savings in duplicate testing), what is changing in Phase 3 (Munich go-live in April 2026, integration with external CRO partners), and how teams will be impacted (mandatory system training in February, temporary parallel data entry during transition). Avoid buzzwords and inflated claims.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'transform' or 'progress' or 'initiative', 'capabilit' or 'outcome' or 'phase'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/finance-strategy-transformation-tests.json
executivePage,type3,Create organizational restructuring explanation,"Write a communication from VanArsdel Ltd's Chief Operating Officer explaining a restructuring that consolidates the three overlapping supply chain teams (Procurement, Vendor Management, and Logistics Operations) into a unified Global Supply Chain organization under VP Marcus Williams. Target audience is all 320 affected employees plus their cross-functional partners in Manufacturing and Finance. The change impacts teams in Detroit, Guadalajara, and Stuttgart facilities. Clearly explain why the change is necessary now (duplicated supplier contracts, inconsistent quality standards across regions, slow response to supply disruptions), what is changing structurally (single global reporting line, consolidated supplier database, unified procurement platform), what stability employees can expect (no layoffs planned, same compensation bands, plant locations unchanged), and where to ask questions (dedicated FAQ page, town hall sessions in each location, anonymous feedback form). Effective date is the first of next month. Write with transparency and empathy.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'restructur' or 'organiz' or 'change', 'team' or 'support' or 'question'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/finance-strategy-transformation-tests.json
executivePage,type3,Create operating model change announcement,"Draft a company-wide announcement from Tailwind Technologies' CEO Marcus Thompson explaining the decision to move from our centralized functional structure (where Engineering, Design, and Product Management report separately to C-suite) to a product-aligned operating model organized around our three product lines: CloudConnect, DataSync, and SecureEdge. Target audience is all 1,800 employees across 6 offices globally. The content should clearly explain why the previous model is limiting speed and accountability (cross-functional dependencies causing 6-week average feature delivery delays, unclear ownership of customer outcomes), describe what 'product-aligned' means in practical, day-to-day terms (dedicated pods with embedded engineers, designers, and PMs; single GM accountable for P&L), clarify what will change for teams (new reporting structures effective April 1, revised OKR process) and what will remain stable (compensation, benefits, office locations, career ladders), and reassure employees about support during the transition (manager training in March, HR business partner office hours). Write with ownership, clarity, and strategic accountability. Avoid abstract leadership language.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'team' or 'change' or 'transition'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/operating-model-business-direction-tests.json
executivePage,type3,Create quarterly business performance update,"Write a Fall 2025 internal update from Bellows College's Online Learning division Dean summarizing performance for our digital education platform serving 28,000 students across undergraduate, graduate, and professional certificate programs. Target audience is all Online Learning staff (Instructional Design, Student Success, Technology, Marketingâ€”approximately 85 people) plus Provost's office. Include major delivery milestones: platform reliability (achieved 99.8% uptime during finals week vs. 99.5% target), program launches (launched 3 new micro-credential programs, delayed MBA online expansion to Spring), and cost efficiency (LMS licensing costs down 22% through vendor renegotiation). Address areas where execution did not meet expectations: missed Fall enrollment target by 400 students due to competitor pricing pressure; student satisfaction scores dropped to 3.8 from 4.2 due to delayed financial aid processing integration. Describe impact on students (147 late-start petitions processed, 89% resolved favorably) and internal stakeholders (Admissions workflow changes needed). List top three Spring 2026 priorities: MBA online launch, financial aid system integration, retention improvement initiative. The tone should reflect accountability for outcomes, not promotional success.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'Fall' or 'update' or 'division', 'milestone' or 'deliver' or 'reliab'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/operating-model-business-direction-tests.json
executivePage,type3,Create responsible AI adoption direction article,"Write an internal article from Lamna Healthcare's Chief Medical Informatics Officer Dr. Angela Martinez outlining the organization's long-term direction for adopting Responsible AI across our clinical decision support tools, patient engagement platform, and revenue cycle management systems. Target audience includes clinical informaticists, IT architects, physician champions, and department heads across our 12-hospital networkâ€”approximately 250 people. Address why Responsible AI is critical to patient safety (avoiding diagnostic bias, maintaining clinician oversight), regulatory compliance (FDA guidance on AI/ML medical devices, HIPAA), and organizational trust with patients and staff. Describe the five principles that will guide decisions: clinical validation requirements, explainability for care teams, demographic fairness testing, data governance aligned with patient consent, and human-in-the-loop for all treatment recommendations. Explain how teams should expect their work to be evaluated going forward (mandatory Clinical AI Review Board approval, quarterly bias audits across patient demographics, updated vendor assessment criteria). State what the organization is explicitly choosing not to do (no fully autonomous diagnostic conclusions, no AI-only triage decisions, no use of patient data for non-care purposes without explicit consent).",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'principle' or 'trust' or 'decision'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/operating-model-business-direction-tests.json
executivePage,type3,Create hybrid work policy update announcement,"Write an official internal communication from WoodGrove Bank's Chief People Officer announcing updated hybrid work expectations for all corporate and technology employees (approximately 12,000 people across headquarters in Charlotte and regional offices in New York, Chicago, and Dallas). The policy transitions from fully flexible arrangements to defined in-office collaboration days (Tuesday, Wednesday, Thursday). The content must clearly explain what is changing (3 days in-office minimum vs. previous 'manager discretion' model) and what is not (flexible start times, remote Friday option, existing accommodations honored), the business rationale behind the update (regulatory expectations for financial institutions, cross-team collaboration metrics showing 40% decline, new hire onboarding feedback), when the policy takes effect (beginning of next quarter) and who is impacted (all non-branch corporate employees; branch and call center staff excluded), how managers are expected to apply the policy consistently (no individual exceptions without HR approval, tracking via badge data), and answers to common employee concerns (childcare, commute reimbursement changes, hot-desking and workspace reservations). Maintain a balance of clarity, authority, and empathy.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'hybrid' or 'remote' or 'office', 'policy' or 'expect' or 'chang'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/people-policy-workplace-tests.json
executivePage,type3,Create annual performance review cycle announcement,"Write an internal announcement from Graphic Design Institute's People & Culture team launching the Academic Year 2025-26 Annual Performance Review cycle for all 450 faculty and staff. Target audience is all employees and department chairs. Clearly describe the purpose of the review cycle (reflect on teaching effectiveness, creative output, and institutional contributions; calibrate performance ratings; inform contract renewals and promotion decisions), key milestones and timelines (self-assessments due February 14, department chair reviews due February 28, Dean-level calibration March 1-15, final ratings communicated by March 22, contract letters by April 1), expectations for faculty (complete self-assessment in Faculty Success, compile teaching evaluations and portfolio updates, schedule 1:1 with department chair) and department chairs (review all faculty, prepare written feedback with student evaluation context, participate in calibration sessions), and how performance outcomes are used for development (professional development plans required for 'Needs Improvement' ratings), compensation (merit pool of 2.8% average, differentiated by rating), and growth (tenure-track progression requires 'Exceeds' in teaching and scholarship for 3 consecutive years). Keep the tone procedural, supportive, and unambiguous.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'performance' or 'review' or 'cycle', 'timeline' or 'milestone' or 'employee'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/people-policy-workplace-tests.json
executivePage,type3,Create benefits enhancement announcement,"Write an internal news post from Fourth Coffee's People Operations team announcing enhancements to partner (employee) benefits for all US-based team members across our 340 retail locations and corporate offices (approximately 4,800 people). Include what benefits are changing: expanded mental health coverage through Lyra Health (unlimited coaching sessions, 16 therapy sessions per year, coverage extended to household members), updated backup childcare benefits (increased from 5 to 15 days annually, now includes elder care), and new education benefits (full tuition coverage for ASU Online programs, expanded to include culinary and hospitality certifications). Explain why these changes were prioritized based on feedback from our 2025 Partner Voice Survey (mental health resources and childcare were top 2 requests, education benefits were highlighted in barista focus groups as key to retention). Changes take effect at the start of next fiscal year for new benefit elections and immediately for backup care. Direct partners to the Benefits section of Partner Hub, the Benefitfocus app, or Partner Resources at 1-888-FOURTH-1 for questions. The tone should be supportive, inclusive, and factual.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'benefit' or 'employee', 'health' or 'leave' or 'coverage'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/people-policy-workplace-tests.json
executivePage,type3,Create phishing campaign security advisory,"Write an internal security advisory from Adatum Corporation's Security Operations Center (SOC) addressing an active phishing campaign targeting employee credentials that began earlier this week. Target audience is all 6,500 employees globally. Cover what has been observed so far (emails impersonating IT Help Desk requesting password resets, spoofed sender domain 'adatum-support.com', 47 employees clicked links, 12 submitted credentials before detection), potential impact if credentials are compromised (access to corporate email, SharePoint, customer data in Dynamics 365, potential lateral movement to financial systems), immediate actions employees must take (do not click links in password reset emails, report suspicious emails via the Phish Alert button in Outlook, employees who submitted credentials must reset passwords immediately and contact IT for account review), what protective measures are already in place (malicious domain blocked, affected accounts locked, MFA required for all access, enhanced email filtering deployed), and how to report suspicious activity (Phish Alert button, email security@adatum.com, or call SOC hotline x5555). Maintain a calm, authoritative tone without creating alarm.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'phishing' or 'security' or 'threat', 'action' or 'report' or 'protect'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/security-risk-compliance-tests.json
executivePage,type3,Create data retention compliance reminder,"Write a reminder communication from Margie's Travel's Privacy & Compliance team reinforcing data retention and deletion obligations following findings from our Q4 2025 PCI-DSS and GDPR audit. Target audience is all people managers and data handlers across Reservations, Customer Service, Finance, and Partner Relations teams (approximately 600 people across our Denver headquarters and Manila support center). The audit found 180TB of data past retention period still stored in SharePoint and legacy booking system archives, including credit card data and passport copies. Explain why correct data handling matters (PCI-DSS compliance for payment processing, GDPR obligations for EU travelers, customer trust and brand reputation, storage cost of $95K/month for non-compliant data), common mistakes that create compliance risk (saving booking confirmations with full card numbers to email folders, retaining passport scans beyond trip completion, keeping loyalty program data for inactive members beyond 24-month policy, downloading customer lists to personal devices), expectations for teams managing traveler data (complete data inventory by February 28, apply appropriate retention labels, delete data past retention period, attend mandatory PCI awareness training), and where to get guidance (Privacy Hub on SharePoint, weekly compliance office hours Wednesdays at 10 AM MT, or email privacy@margiestravel.com). Use clear business language rather than legal terminology.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 1 or more headings, 'data' or 'retention' or 'compliance', 'delet' or 'handling' or 'obligat'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/security-risk-compliance-tests.json
executivePage,type3,Create executive security commitment following incident,"Write an internal communication from Alpha Air Lines' Chief Security Officer, John Laughter, addressed to all 100,000+ employees worldwide following a security breach at Atlanta Hartsfield-Jackson hub in last week. The incident involved unauthorized individuals bypassing employee security checkpoints using cloned RFID badges, resulting in a 3-hour ground stop affecting 142 flights, approximately $8.2M in operational losses, and significant passenger inconvenience. Target audience is all frontline staff (gate agents, flight attendants, ramp workers, pilots), ground operations, and corporate employees. The communication must: reaffirm Alpha Air Lines' unwavering commitment to the safety of passengers, crew, and all personnel; acknowledge the incident transparently without compromising the ongoing TSA and FBI investigation; stress the critical importance of every employee following established security protocols (badge visibility, challenge procedures for unfamiliar individuals, reporting suspicious activity immediately); announce enhanced measures being implemented (new biometric verification at secure areas, mandatory security refresher training by February 28, increased random screening); remind employees that security is everyone's responsibility regardless of role or tenure; emphasize that cutting corners or bypassing proceduresâ€”even under operational pressureâ€”will not be tolerated; and provide clear reporting channels (Security Operations Center 24/7 hotline, anonymous ethics line, direct supervisor). The tone should convey gravity and resolve while expressing appreciation for employees' vigilance and professionalism.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'security' or 'safety' or 'passenger', 'protocol' or 'procedure' or 'report'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/security-risk-compliance-tests.json
executivePage,type3,Create customer incident summary,"Write an internal summary from Litware Inc.'s Customer Support leadership documenting a recent incident from earlier this week affecting our DataVault Pro cloud backup service. Target audience is Customer Success managers, Account Executives, and Support engineers who may receive customer inquiries (approximately 150 people). Include what customers experienced (backup jobs failed for 2,300 customers in the US-West region between 3:00 AM and 7:15 AM PST, automated alerts incorrectly showed success, some customers discovered failures only when attempting restore), root cause at a high level (storage cluster failover during routine maintenance triggered race condition in job scheduler, existing monitoring didn't detect silent failures), how the issue was resolved (manual failback, job queue replay, affected customers notified proactively with status of their backups), and what is being done to prevent recurrence (enhanced end-to-end backup verification, improved alerting thresholds, maintenance window process updateâ€”owners: SRE team, target completion within the next two weeks). Focus on customer impact and corrective action. Include suggested talking points for customer-facing teams.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'customer' or 'incident' or 'impact', 'cause' or 'resolv' or 'action'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/support-customers-knowledge-tests.json
executivePage,type3,Create customer satisfaction trends report,"Write an internal Q4 2025 report from Wide World Importers' Customer Experience team summarizing satisfaction and support trends for our B2B wholesale ordering platform serving 3,200 retail partners across North America. Target audience is VP of Partner Success, Regional Sales Directors, and Operations leadership responsible for partner retention. Include key metrics and movement: overall partner CSAT dropped from 4.4 to 4.0 (scale of 5), NPS decreased 12 points to +28, order issue resolution time improved from 48 hours to 32 hours, but shipping dispute resolution increased from 5 days to 8 days. Cover top drivers of positive feedback (dedicated account managers, flexible payment terms, same-day shipping for in-stock items) and negative feedback (backorder communication delays, inconsistent product availability data, complex return authorization process for seasonal merchandise). Describe actions already taken (implemented real-time inventory visibility, hired 4 additional partner support specialists, launched self-service return portal for standard items). Highlight areas needing attention (backorder notification system overhaul needed, carrier integration causing 15% of shipping disputes, partner onboarding taking 3 weeks vs. 1-week target). Write for leaders responsible for partner retention and operational excellence.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'customer' or 'satisfaction' or 'support', 'metric' or 'feedback' or 'trend'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/support-customers-knowledge-tests.json
executivePage,type3,Create internal technology spotlight,"Write an internal overview from Wingtip Toys' IT Innovation team introducing 'InventoryIQ'â€”our new AI-powered demand forecasting and inventory optimization platform built on Azure Machine Learning and integrated with our SAP ERP system. Target audience is supply chain managers, merchandising leads, and regional warehouse supervisors across our 45 distribution centers (approximately 180 people). Explain why the platform was created (replace spreadsheet-based forecasting, reduce overstock by 30%, improve stockout prediction accuracy, align inventory levels with seasonal demand patterns for our toy and game product lines), who should use it and when (all regional warehouses must use InventoryIQ for Q3 2026 holiday planning; category managers should begin training in March 2026; platform includes pre-built models for action figures, board games, outdoor toys, and electronics), scenarios where it may not be the best fit (licensed products with unpredictable media tie-ins, limited edition collectibles with controlled scarcityâ€”contact Merchandising for manual planning), and the ownership and support model (owned by Supply Chain Analytics team, Tier 1 support via ServiceNow ticket category 'InventoryIQ', weekly training sessions every Monday 11 AM ET, SLA of same-business-day response for forecast discrepancies). Use an educational, practical tone. Include links to the training portal and quick-start guide.",first section should exist,Page should contain exactly 1 Text web part,"Text web part content should contain 2 or more headings, 'team' or 'engineer' or 'support'",,,,,,,SharePointPage generatePage page executivePage visualExpectation,pages/generatePage/executivePage/support-customers-knowledge-tests.json
generatePage,type3,Create announcement page with hero banner and headline,"Create an announcement page for our new product launch. Add a Hero web part at the top with the title 'Introducing Contoso AI Assistant' and subtitle 'Revolutionizing how you work with intelligent automation'. Below the hero, add a Text web part with a heading 'What's Changing' followed by a paragraph explaining that starting February 1st, all employees will have access to our new AI-powered productivity suite that integrates with Microsoft 365 apps.",Page should contain exactly 1 Hero web part,Hero web part should contain item 'Introducing Contoso AI Assistant',Page should contain exactly 1 Text web part,Text web part content should contain headings,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/announce-something-important-tests.json
generatePage,type3,"Build leadership announcement with hero, text, and call-to-action","Build a leadership announcement page from our CEO. Start with a Hero web part featuring a professional layout with title 'A Message from Our CEO: Our 2026 Strategic Vision'. Add a Text web part below containing an open letter addressing all employees about our company's expansion into three new markets, our commitment to sustainability, and the upcoming organizational changes. Include a Button web part at the bottom labeled 'Read the Full Strategic Plan' linking to https://contoso.sharepoint.com/sites/strategy/plan-2026.",Page should contain exactly 1 Hero web part,Hero web part should contain item 'A Message from Our CEO: Our 2026 Strategic Vision',Page should contain exactly 1 Text web part,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/announce-something-important-tests.json
generatePage,type3,Create policy change announcement with impact and timeline sections,"Create an announcement page for the new hybrid work policy effective March 2026. Structure it with a banner titled 'Updated Hybrid Work Policy'. Add three Text web part sections: First section with heading 'What's Changing' explaining the new 3-day office requirement and flexible Friday policy. Second section with heading 'Who's Impacted' listing all full-time employees in North America and EMEA regions. Third section with heading 'Implementation Timeline' with a bulleted list showing: March 1 - Policy announcement, March 15 - Manager training, April 1 - Full rollout.",first section should exist,Page should contain exactly 3 Text web part(s),"Three Text web parts should contain sections for 'What's Changing', 'Who's Impacted', and 'Implementation Timeline'",,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/announce-something-important-tests.json
generatePage,type3,Add featured news announcement with image and button,"Add a featured news section announcing our Q4 2025 financial results. Include an Image web part showing a placeholder for the quarterly results infographic. Add a Text web part with the headline 'Record-Breaking Quarter: Q4 2025 Results' followed by key highlights: 23% revenue growth year-over-year, successful launch in 5 new markets, customer satisfaction score of 94%. End with a Button web part labeled 'Download Full Financial Report' linking to https://contoso.sharepoint.com/sites/investor-relations/q4-2025-report.pdf.",Page should contain exactly 1 Image web part,Page should contain exactly 1 Text web part,Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/announce-something-important-tests.json
generatePage,type3,Create campaign landing page with hero and countdown,"Create a campaign landing page for Earth Month 2026 at Contoso (April 1-30). Add a Hero web part with the title 'Earth Month 2026: Small Actions, Big Impact' and subtitle 'Join 15,000+ Contoso employees in our biggest sustainability challenge yet'. Include a Countdown Timer web part counting down to April 1, 2026 with the label 'Earth Month Begins In:'. Add a Text web part for 'This Year's Theme' explaining our focus on reducing single-use plastics, with a goal to eliminate 1 million plastic items from our offices worldwide. Include sections for weekly challenges: Week 1 - Plastic-Free Lunches, Week 2 - Digital Declutter, Week 3 - Green Commute, Week 4 - Community Cleanup. Add a Button web part labeled 'Take the Pledge' linking to https://forms.contoso.com/earth-month-pledge.",first section should exist,Should find exactly 4 matching elements,Page should contain exactly 1 Hero web part,"Hero web part should contain item 'Earth Month 2026: Small Actions, Big Impact'",Page should contain exactly 1 Countdown web part,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/campaign-initiative-landing-page-tests.json
